77198927 function calls (77187189 primitive calls) in 127.986 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.001    0.000 _parser.py:367(_escape)
       30    0.000    0.000    0.003    0.000 <frozen zipimport>:64(__init__)
      457    0.000    0.000    0.000    0.000 <frozen codecs>:327(reset)
      129    0.000    0.000    0.001    0.000 worksheet.py:261(_add_cell)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      102    0.000    0.000    0.002    0.000 base.py:136(__init__)
      458    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
       10    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Compress' objects}
      129    0.000    0.000    0.003    0.000 worksheet.py:216(cell)
      129    0.000    0.000    0.001    0.000 cell.py:173(_bind_value)
        6    0.000    0.000    0.005    0.001 worksheet.py:100(_setup)
      723    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      108    0.000    0.000    0.002    0.000 header_footer.py:93(__init__)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
      922    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      113    0.000    0.000    0.001    0.000 colors.py:57(__set__)
       75    0.000    0.000    0.001    0.000 <frozen os>:673(__getitem__)
       16    0.000    0.000    0.003    0.000 argparse.py:1412(add_argument)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
       18    0.000    0.000    0.002    0.000 ElementTree.py:753(_get_writer)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      241    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      399    0.000    0.000    0.001    0.000 mimetypes.py:249(<lambda>)
      257    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       39    0.000    0.000    0.001    0.000 _parser.py:265(getuntil)
       97    0.000    0.000    0.001    0.000 _parser.py:82(opengroup)
        2    0.000    0.000    0.001    0.000 enum.py:1625(convert_class)
       10    0.000    0.000    0.000    0.000 {method 'compress' of 'zlib.Compress' objects}
       30    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
      788    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      644    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       31    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
        3    0.000    0.000    0.321    0.107 excel.py:1(<module>)
      115    0.000    0.000    0.001    0.000 enum.py:669(__call__)
        3    0.000    0.000    0.715    0.238 workbook.py:1(<module>)
       37    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       55    0.000    0.000    0.015    0.000 _compiler.py:571(_code)
      920    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      146    0.000    0.000    0.000    0.000 base.py:245(__set__)
       50    0.000    0.000    0.004    0.000 fills.py:96(_from_tree)
       52    0.000    0.000    0.011    0.000 fonts.py:101(from_tree)
      624    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      623    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      2/1    0.000    0.000    0.144    0.144 mimetypes.py:72(__init__)
      894    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      171    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      418    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      210    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       16    0.000    0.000    0.002    0.000 argparse.py:164(__init__)
      304    0.000    0.000    0.000    0.000 _parser.py:79(groups)
    61/48    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
       10    0.000    0.000    0.001    0.000 zipfile.py:1168(close)
      109    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
       50    0.000    0.000    0.004    0.000 fills.py:57(from_tree)
      194    0.000    0.000    0.000    0.000 ElementTree.py:1038(_escape_attrib)
       36    0.000    0.000    0.002    0.000 header_footer.py:146(__init__)
       20    0.000    0.000    0.000    0.000 zipfile.py:435(FileHeader)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
      184    0.000    0.000    0.001    0.000 cell_style.py:52(__new__)
       16    0.000    0.000    0.001    0.000 shutil.py:1386(get_terminal_size)
      272    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
      475    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:1894(_write_end_record)
       62    0.000    0.000    0.000    0.000 enum.py:809(__setattr__)
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       65    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.354    0.354 worksheet.py:1(<module>)
        2    0.000    0.000    0.004    0.002 datetime.py:1(<module>)
       55    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
       30    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.024    0.024 Image.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
      676    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.066    0.066 1.py:170(set_years)
        1    0.000    0.000    0.022    0.022 excel.py:61(write_data)
      115    0.000    0.000    0.000    0.000 enum.py:1074(__new__)
    32/22    0.000    0.000    0.189    0.009 {built-in method builtins.__import__}
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      307    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      204    0.000    0.000    0.000    0.000 nested.py:38(from_tree)
       23    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        3    0.000    0.000    0.010    0.003 table.py:1(<module>)
